05/31/18,am,83634,79431,76608,75058,75824,79319,85710,91523,96066,100507,105106,109296
05/31/18,pm,113004,116482,119470,121172,122668,122620,120673,116986,113818,110260,102485,93698
06/01/18,am,86868,81705,78323,76354,76404,79415,85229,91528,96873,102041,107060,111328
06/01/18,pm,114905,117695,119595,120308,120602,119465,116180,111931,108882,105670,99130,91024
06/02/18,am,82085,77383,74119,72019,71130,71775,73282,76490,81484,86490,90619,93788
06/02/18,pm,96100,97603,98765,99733,100441,100027,98412,96176,94258,91878,86908,80786
06/03/18,am,73646,69577,66876,65121,64274,64478,65037,67212,71473,75600,78754,81309
06/03/18,pm,83448,84925,86057,87269,88497,89381,89035,88221,87678,85783,80795,75042
06/04/18,am,69442,66468,64773,64164,65192,69231,75647,81153,84463,86953,89361,91259
06/04/18,pm,92908,94455,95499,96404,97264,97627,96845,95367,94333,91642,85054,77959
06/05/18,am,71579,68072,66015,65051,65775,69488,75626,80972,84144,86566,89005,91020
06/05/18,pm,92745,94518,95779,96873,97911,98259,97216,95285,94086,91721,85092,77834
06/06/18,am,71720,68139,66012,65067,65812,69520,75684,81019,84162,86791,89368,91656
06/06/18,pm,93708,95885,97698,99239,100697,101154,100124,98229,97082,94580,87757,80272
